city,state,lat,lon
ALTO PASS,IL,37.5561,-89.3382
ALTON,AL,33.5795,-86.6376
ALTON,IA,42.9826,-95.9896
ALTON,IL,38.9391,-90.1321
ALTON,KS,39.4376,-98.9445
ALTON,MO,36.75,-91.3989
ALTON,NH,43.4739,-71.2325
ALTON,NY,43.2229,-76.9705
ALTON,UT,37.4563,-112.6484
ALTON,VA,36.6017,-79.0437
ALTON BAY,NH,43.5059,-71.2742
ALTONA,IL,41.1,-90.1451
ALTONA,NY,44.8499,-73.6474
ALTONAH,UT,40.4674,-110.4507
ALTOONA,AL,34.0456,-86.286
ALTOONA,FL,29.0527,-81.5829
ALTOONA,IA,41.6435,-93.4623
ALTOONA,KS,37.5145,-95.6341
ALTOONA,PA,40.5216,-78.396
ALTOONA,WI,44.8062,-91.4283
ALTURA,MN,44.1504,-92.0108
ALTURAS,CA,41.5132,-120.5156
ALTURAS,FL,27.8717,-81.716
ALTUS,AR,35.4614,-93.747
ALTUS,OK,34.6635,-99.339
ALTUS AFB,OK,34.6633,-99.2757
ALUM BANK,PA,40.2048,-78.6286
ALUM BRIDGE,WV,39.0508,-80.7229
ALUM CREEK,WV,38.2424,-81.7699
ALVA,FL,26.7211,-81.6633
ALVA,OK,36.8549,-98.7642
ALVA,WY,44.6827,-104.4534
ALVADA,OH,41.0423,-83.4247
ALVADORE,OR,44.1269,-123.2609
ALVARADO,MN,48.2168,-96.9779
ALVARADO,TX,32.4315,-97.1975
ALVATON,KY,36.859,-86.3481
ALVERDA,PA,40.6366,-78.8627
ALVERTON,PA,40.1348,-79.6002
ALVIN,IL,40.3003,-87.6147
ALVIN,TX,29.4087,-95.2443
ALVISO,CA,37.441,-121.9906
ALVO,NE,40.907,-96.3884
ALVORD,IA,43.3527,-96.3116
ALVORD,TX,33.3535,-97.6711
ALVORDTON,OH,41.6639,-84.4568
ALZADA,MT,45.2242,-104.2629
AMA,LA,29.8593,-90.2737
AMADO,AZ,31.6649,-111.0641
AMADOR CITY,CA,38.4307,-120.8386
AMAGANSETT,NY,40.9922,-72.0973
AMAGON,AR,35.5579,-91.0898
AMALIA,NM,36.8893,-105.3848
AMANA,IA,41.809,-91.8671
AMANDA,OH,39.6485,-82.7493
AMANDA PARK,WA,47.4116,-123.9936
AMARGOSA VALLEY,NV,37.0805,-116.5304
AMARILLO,TX,35.2137,-101.8378
AMASA,MI,46.2505,-88.4469
AMAWALK,NY,41.2952,-73.7576
AMAZONIA,MO,39.8981,-94.9341
AMBER,OK,35.1239,-97.8084
AMBERG,WI,45.4998,-88.0034
AMBERSON,PA,40.1703,-77.6777
AMBIA,IN,40.4948,-87.4716
AMBLER,AK,67.6806,-156.8758
AMBLER,PA,40.1843,-75.2156
AMBOY,CA,34.6867,-115.8741
AMBOY,IL,41.7019,-89.3536
AMBOY,IN,40.6355,-85.9489
AMBOY,MN,43.8987,-94.1887
AMBOY,WA,45.9762,-122.4008
